"","Animal_A.tifdiff_vec.txt","Animal_B.tiffdiff_vec.txt","Animal_C.tifdiff_vec.txt","Animal_D.tifdiff_vec.txt","Animal_E.tifdiff_vec.txt","Animal_F.tifdiff_vec.txt","Animal_G.tifdiff_vec.txt","Animal_H.tifdiff_vec.txt","Animal_I.tifdiff_vec.txt","Animal_J.tifdiff_vec.txt","Animal_K.tifdiff_vec.txt","Animal_L.tifdiff_vec.txt","Animal_M.tifdiff_vec.txt","Animal_N.tifdiff_vec.txt","Animal_O.tifdiff_vec.txt","Animal_P.tiffdiff_vec.txt","Animal_R.tiffdiff_vec.txt","Animal_U.tifdiff_vec.txt","Animal_V.tifdiff_vec.txt","Animal_W.tifdiff_vec.txt","Animal_X.tifdiff_vec.txt","Animal_Y.tifdiff_vec.txt","Animal_Z.tifdiff_vec.txt","Animal_Z1.tifdiff_vec.txt","Animal_Z10.tiffdiff_vec.txt","Animal_Z2.tifdiff_vec.txt","Animal_Z4.tifdiff_vec.txt","Animal_Z6.tiffdiff_vec.txt","Animal_Z8.tiffdiff_vec.txt","Animal_Z9.tiffdiff_vec.txt"
"59",44,2.86,5.28,3.08,9.68,55.22,11.88,1.76,4.4,3.74,6.16,10.56,12.32,8.14,32.34,9.46,9.68,6.82,5.06,5.72,24.86,16.28,1.76,9.9,25.96,16.94,9.24,14.3,44.44,11.44
"60",44,2.86,5.28,3.08,9.68,55.22,11.88,1.76,4.4,3.3,6.16,10.34,12.1,8.14,32.34,9.46,9.46,7.04,5.06,5.5,24.86,15.18,1.76,9.9,26.18,16.94,9.24,14.3,44.66,10.56
"61",40.7,2.86,4.84,2.86,9.68,55.22,11.88,1.54,4.4,3.3,6.16,10.12,12.32,8.14,32.56,8.14,9.46,7.48,5.06,4.84,24.64,15.18,3.96,10.34,26.4,16.94,8.8,14.3,44.88,10.78
"62",40.7,2.86,4.84,2.86,10.34,55.22,9.46,1.76,4.4,3.3,6.82,10.12,12.54,7.92,32.56,8.14,9.46,7.7,5.06,4.62,24.42,14.96,3.96,10.34,26.4,16.94,8.8,14.3,45.1,10.78
"63",40.7,2.86,4.84,2.86,10.34,55.22,9.46,1.98,4.4,3.3,6.82,9.9,11.88,7.7,32.56,8.14,9.46,7.92,5.06,4.62,24.2,15.18,3.96,10.34,26.4,16.94,8.8,14.3,45.32,11
"64",40.04,3.08,4.62,3.3,10.34,55.22,9.46,2.2,4.4,3.3,6.82,9.9,11.88,7.48,32.78,7.7,9.46,7.92,5.06,4.62,23.98,15.18,3.96,11,26.4,16.94,8.58,14.3,45.54,11
"65",40.04,3.08,4.4,3.3,10.34,55.22,8.8,2.2,4.4,3.3,7.04,9.68,11.88,7.26,31.24,7.7,9.46,8.14,5.06,3.96,23.76,15.18,3.96,11,26.4,17.82,8.36,14.3,45.54,11.22
"66",40.04,3.08,4.4,6.82,10.34,55.22,8.8,2.2,4.4,3.74,7.26,9.24,11.88,7.92,31.24,7.04,9.46,8.36,5.06,2.42,23.54,14.96,3.96,11,26.4,17.82,8.14,14.3,45.76,11
"67",39.16,3.08,4.4,6.82,10.34,55.22,8.8,2.2,4.4,3.74,7.48,9.24,12.1,7.7,31.46,7.04,9.46,8.8,5.06,2.86,23.32,14.74,3.96,11,26.4,17.82,7.92,14.3,45.98,10.78
"68",38.94,3.08,4.4,7.48,11,55.22,8.14,2.2,4.4,3.74,7.7,9.02,12.1,7.48,29.48,7.04,9.46,9.24,4.84,3.52,23.32,14.52,3.96,11,26.4,17.82,7.7,14.3,46.2,10.78
"69",38.72,3.08,4.4,8.36,11,55.22,8.14,2.2,4.4,6.82,7.92,9.02,12.32,5.72,29.48,7.04,9.46,9.24,4.62,3.74,23.32,14.74,3.52,11,26.4,18.04,7.7,14.3,46.64,10.56
"70",38.72,3.08,3.96,8.36,11,55.22,8.14,2.42,4.4,6.82,8.14,9.02,11.88,5.72,29.48,7.26,9.46,9.46,4.62,3.74,23.32,14.96,3.3,11.44,26.4,18.26,7.7,14.3,46.86,10.56
"71",38.72,3.08,3.96,8.36,11,55.22,4.84,2.42,4.4,8.36,7.48,9.46,11.88,5.72,29.48,7.48,9.24,9.68,4.62,3.74,23.32,12.76,3.08,11.44,26.4,18.48,7.7,14.3,47.08,10.56
"72",38.72,3.08,3.52,8.14,11,55.22,4.84,2.42,4.4,8.36,7.48,9.46,11.88,5.72,28.82,7.48,9.02,10.34,4.62,4.18,23.32,12.54,2.86,11.44,26.4,18.48,7.7,14.3,47.3,10.78
"73",37.4,3.08,3.52,8.58,11,55.22,4.84,2.86,4.18,9.68,7.48,5.94,10.78,4.4,28.82,7.48,9.46,10.56,3.96,4.18,23.32,12.76,2.64,11.66,26.4,18.48,7.7,14.3,47.52,11
"74",37.4,3.08,4.18,8.58,11,55.22,4.18,4.62,3.96,9.68,7.48,5.72,10.78,4.4,28.82,8.14,9.46,10.56,3.96,4.18,23.32,12.76,2.64,11.88,26.4,18.48,7.7,14.3,47.74,11.22
"75",37.4,3.08,4.18,8.14,11,55.22,4.18,4.62,3.74,9.68,7.48,5.5,10.34,4.4,27.94,8.14,9.46,10.34,3.96,3.96,23.32,12.76,2.64,11.66,26.4,18.48,7.7,14.3,47.96,11.44
"76",36.52,3.08,4.18,8.36,11,55.22,4.18,4.18,3.52,9.68,7.48,6.16,10.34,4.4,27.94,8.14,9.46,10.12,3.96,3.96,23.32,12.98,2.86,11.66,26.4,18.48,7.7,14.3,48.18,11.66
"77",36.3,3.08,4.18,8.36,11,55.22,4.18,4.18,2.86,9.68,7.48,6.38,10.12,4.4,27.94,8.8,9.46,9.9,3.96,4.18,23.32,13.2,3.08,11,26.4,18.48,7.7,14.3,48.4,10.56
"78",36.08,3.08,4.18,7.92,11,55.22,4.18,4.18,2.86,9.68,7.48,5.94,10.34,4.4,27.28,8.8,9.46,8.8,3.3,3.52,20.9,13.2,3.08,11,26.4,18.48,8.14,14.3,48.62,10.78
